spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,25,0,-5,US,2024-10-10,91,False,155151,MILLION DOLLAR BABY,2024-04-26,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,26,0,5,US,2024-10-10,86,False,228013,Something in the Orange,2022-04-22,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
102YUQbYmwdBXS7jwamI90,Good Graces,Sabrina Carpenter,27,0,-4,US,2024-10-10,89,True,185265,Short n' Sweet,2024-08-23,0.758,0.759,5,-5.315,1,0.0479,0.329,3.96e-06,0.144,0.732,126.012,4
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,28,0,0,US,2024-10-10,88,True,223192,Short n' Sweet,2024-08-23,0.633,0.725,5,-4.257,1,0.0427,0.0461,0.0,0.205,0.64,130.504,4
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,29,2,14,US,2024-10-10,87,False,184516,Blonde,2016-08-20,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,3
76JKIsdKrAfWUMjaA0u7v5,Too Sweet,Hozier,30,-1,-1,US,2024-10-10,77,False,251424,Unreal Unearth: Unaired,2024-08-19,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,31,1,15,US,2024-10-10,85,True,144000,One of Wun,2024-05-10,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,32,9,-11,US,2024-10-10,90,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,33,-3,-1,US,2024-10-10,85,False,210950,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,0.487,0.658,5,-9.973,1,0.0296,0.00877,0.00777,0.1,0.282,142.18,4
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",34,-1,7,US,2024-10-10,84,False,181621,One Thing At A Time,2023-03-03,0.621,0.779,8,-3.777,1,0.0361,0.216,8.62e-06,0.165,0.399,172.037,4
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,35,0,1,US,2024-10-10,88,False,161831,Fireworks & Rollerblades,2024-04-05,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,4
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,36,-2,9,US,2024-10-10,87,False,169697,Diet Pepsi,2024-08-09,0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,4
